Labels,sublabels,Text
SQL Tutorial,Examples in Each Chapter,"With our online SQL editor, you can edit the SQL statements, and click on a button to view the result."
SQL Tutorial,SQL Exercises,Insert the missing statement to get all the columns from the Customers table.
SQL Tutorial,SQL Examples,Learn by examples! This tutorial supplements all explanations with clarifying examples.
SQL Tutorial,SQL Quiz Test,Test your SQL skills at W3Schools!
SQL Tutorial,SQL References,At W3Schools you will find a complete reference for keywords and function:
SQL Tutorial,SQL Data Types,"Data types and ranges for Microsoft Access, MySQL and SQL Server."
Introduction to SQL,What is SQL?,"SQL stands for Structured Query Language SQL lets you access and manipulate SQL became a standard of the American National Standards Institute (ANSI) in 1986, and of the International Organization for Standardization (ISO) in 1987databases"
Introduction to SQL,What Can SQL do?,"SQL can execute queries against a database SQL can retrieve data from a database SQL can insert records in a database SQL can update records in a database SQL can delete records from a database SQL can create new databases SQL can create new tables in a database SQL can create stored procedures in a database SQL can create views in a database SQL can set permissions on tables, procedures, and views"
Introduction to SQL,SQL is a Standard - BUT....,"Although SQL is an ANSI/ISO standard, there are different versions of the SQL language. However, to be compliant with the ANSI standard, they all support at least the major commands (such as SELECT, UPDATE, DELETE, INSERT, WHERE) in a similar manner. Note: Most of the SQL database programs also have their own proprietary extensions in addition to the SQL standard!"
Introduction to SQL,Using SQL in Your Web Site,"To build a web site that shows data from a database, you will need: An RDBMS database program (i.e. MS Access, SQL Server, MySQL) To use a server-side scripting language, like PHP or ASP To use SQL to get the data you want To use HTML / CSS to style the page"
Introduction to SQL,RDBMS,"RDBMS stands for Relational Database Management System. RDBMS is the basis for SQL, and for all modern database systems such as MS SQL Server, IBM DB2, Oracle, MySQL, and Microsoft Access. The data in RDBMS is stored in database objects called tables. A table is a collection of related data entries and it consists of columns and rows. Look at the ""Customers"" table Every table is broken up into smaller entities called fields. The fields in the Customers table consist of CustomerID, CustomerName, ContactName, Address, City, PostalCode and Country. A field is a column in a table that is designed to maintain specific information about every record in the table. A record, also called a row, is each individual entry that exists in a table. For example, there are 91 records in the above Customers table. A record is a horizontal entity in a table. A column is a vertical entity in a table that contains all information associated with a specific field in a table."
SQL Syntax,Database Tables,"A database most often contains one or more tables. Each table is identified by a name (e.g. ""Customers"" or ""Orders""). Tables contain records (rows) with data. In this tutorial we will use the well-known Northwind sample database (included in MS Access and MS SQL Server)."
SQL Syntax,SQL Statements,Most of the actions you need to perform on a database are done with SQL statements.
SQL Syntax,Keep in Mind That,SQL keywords are NOT case sensitive: select is the same as SELECT In this tutorial we will write all SQL keywords in upper-case.
SQL Syntax,Semicolon after SQL Statements?,"Some database systems require a semicolon at the end of each SQL statement. Semicolon is the standard way to separate each SQL statement in database systems that allow more than one SQL statement to be executed in the same call to the server.In this tutorial, we will use semicolon at the end of each SQL statement."
SQL Syntax,Some of The Most Important SQL Commands,SELECT - extracts data from a database UPDATE - updates data in a database DELETE - deletes data from a database INSERT INTO - inserts new data into a database CREATE DATABASE - creates a new database ALTER DATABASE - modifies a database CREATE TABLE - creates a new table ALTER TABLE - modifies a table DROP TABLE - deletes a table CREATE INDEX - creates an index (search key) DROP INDEX - deletes an index
SQL SELECT Statement,The SQL SELECT Statement,"The SELECT statement is used to select data from a database. The data returned is stored in a result table, called the result-set."
SQL SELECT Statement,SELECT Syntax,"Here, column1, column2, ... are the field names of the table you want to select data from. If you want to select all the fields available in the table"
SQL SELECT Statement,SELECT Column Example,"The following SQL statement selects the ""CustomerName"" and ""City"" columns from the ""Customers"" table"
SQL SELECT Statement,SELECT * Example,"The following SQL statement selects all the columns from the ""Customers"" table:"
SQL SELECT DISTINCT Statement,The SQL SELECT DISTINCT Statement,"The SELECT DISTINCT statement is used to return only distinct (different) values. Inside a table, a column often contains many duplicate values; and sometimes you only want to list the different (distinct) values."
SQL SELECT DISTINCT Statement,SELECT Example Without DISTINCT,"The following SQL statement selects all (including the duplicates) values from the ""Country"" column in the ""Customers"" table:"
SQL SELECT DISTINCT Statement,SELECT DISTINCT Examples,"The following SQL statement selects only the DISTINCT values from the ""Country"" column in the ""Customers"" table The following SQL statement lists the number of different (distinct) customer countries:"
SQL WHERE Clause,The SQL WHERE Clause,The WHERE clause is used to filter records. It is used to extract only those records that fulfill a specified condition.
SQL WHERE Clause,WHERE Clause Example,"The following SQL statement selects all the customers from the country ""Mexico"", in the ""Customers"" table:"
SQL WHERE Clause,Text Fields vs. Numeric Fields,"SQL requires single quotes around text values (most database systems will also allow double quotes). However, numeric fields should not be enclosed in quotes"
SQL WHERE Clause,Operators in The WHERE Clause,The following operators can be used in the WHERE clause 
"SQL AND, OR and NOT Operators","The SQL AND, OR and NOT Operators","The WHERE clause can be combined with AND, OR, and NOT operators. The AND and OR operators are used to filter records based on more than one condition The AND operator displays a record if all the conditions separated by AND are TRUE. The OR operator displays a record if any of the conditions separated by OR is TRUE. The NOT operator displays a record if the condition(s) is NOT TRUE."
"SQL AND, OR and NOT Operators",AND Example,"The following SQL statement selects all fields from ""Customers"" where country is ""Germany"" AND city is ""Berlin"":"
